d%?+1 Weapon Special Ability?Base Price Modifier1
01?Impervious?+3,000 gp
02?Glamered?+4,000 gp
03?Allying?+1 bonus
04-08?Bane?+1 bonus
09?Benevolent?+1 bonus
10?Called?+1 bonus
11-12?Conductive?+1 bonus
13-16?Corrosive?+1 bonus
17?Countering?+1 bonus
18?Courageous?+1 bonus
19?Cruel?+1 bonus
20-21?Cunning?+1 bonus
22?Deadly?+1 bonus
23-26?Defending?+1 bonus
27?Dispelling?+1 bonus
28-33?Flaming?+1 bonus
34-39?Frost?+1 bonus
40-41?Furious?+1 bonus
42-45?Ghost touch?+1 bonus
46-47?Grayflame?+1 bonus
48?Grounding?+1 bonus
49?Guardian?+1 bonus
50?Heartseeker?+1 bonus
51-52?Huntsman?+1 bonus
53-54?Jurist?+1 bonus
55-59?Keen3?+1 bonus
60-61?Ki focus?+1 bonus
62?Limning?+1 bonus
63-64?Menacing?+1 bonus
65?Merciful?+1 bonus
66-68?Mighty cleaving?+1 bonus
69?Mimetic?+1 bonus
70?Neutralizing?+1 bonus
71?Ominous?+1 bonus
72?Planar?+1 bonus
73?Quenching?+1 bonus
74?Seaborne?+1 bonus
75-80?Shock?+1 bonus
81-85?Spell storing?+1 bonus
86?Thawing?+1 bonus
87-91?Throwing?+1 bonus
92-96?Thundering?+1 bonus
97?Valiant?+1 bonus
98-100?Vicious?+1 bonus
d%?+2 Weapon Special Ability?Base Price Modifier1
01?Advancing?+2 bonus
02-10?Anarchic?+2 bonus
11-19?Anchoring?+2 bonus
20?Axiomatic?+2 bonus
21-27?Corrosive burst?+2 bonus
28?Defiant?+2 bonus
29?Dispelling burst?+2 bonus
30-38?Disruption2?+2 bonus
39-47?Flaming burst?+2 bonus
48?Furyborn?+2 bonus
49?Glorious?+2 bonus
50-58?Holy?+2 bonus
59-67?Icy burst?+2 bonus
68?Igniting?+2 bonus
69?Impact3?+2 bonus
70?Invigorating?+2 bonus
71?Ki intensifying?+2 bonus
72?Lifesurge?+2 bonus
73?Negating?+2 bonus
74?Phase locking?+2 bonus
75-83?Shocking burst?+2 bonus
84?Stalking?+2 bonus
85-91?Unholy?+2 bonus
92-100?Wounding?+2 bonus
d%?+3 Weapon Special Ability?Base Price Modifier1
01-20?Nullifying?+3 bonus
21-40?Repositioning?+3 bonus
41-80?Speed?+3 bonus
81-100?Spellstealing?+3 bonus
d%?+4 or +5 Weapon Special Ability?Base Price Modifier1
01-40?Brilliant energy?+4 bonus
41-80?Dancing?+4 bonus
81-90?Vorpal3?+5 bonus
91-95?Transformative?+10,000 gp
96-100?Dueling?+14,000 gp

d%?+1 Weapon Special Ability?Base Price Modifier1
01?Adaptive2?+1,000 gp
02?Impervious?+3,000 gp
03?Glamered?+4,000 gp
04-06?Allying?+1 bonus
07-15?Bane3?+1 bonus
16?Called?+1 bonus
17-19?Conductive?+1 bonus
20?Conserving4?+1 bonus
21-24?Corrosive3?+1 bonus
25?Cruel?+1 bonus
26-28?Cunning?+1 bonus
29-36?Distance?+1 bonus
37-45?Flaming3?+1 bonus
46-54?Frost3?+1 bonus
55-58?Huntsman?+1 bonus
59-62?Jurist?+1 bonus
63?Limning?+1 bonus
64?Lucky5?+1 bonus
65-66?Merciful3?+1 bonus
67?Planar?+1 bonus
68?Reliable5?+1 bonus
69-76?Returning6?+1 bonus
77-84?Seeking?+1 bonus
85-92?Shock3?+1 bonus
93-100?Thundering3?+1 bonus
d%?+2 Weapon Special Ability?Base Price Modifier1
01-10?Anarchic3?+2 bonus
11-13?Anchoring6?+2 bonus
14-23?Axiomatic3?+2 bonus
24-31?Corrosive burst3?+2 bonus
32-34?Designating, lesser3?+2 bonus
35-37?Endless ammunition7?+2 bonus
38-48?Flaming burst3?+2 bonus
49-58?Holy3?+2 bonus
59-69?Icy burst3?+2 bonus
70-73?Igniting3?+2 bonus
74-76?Phase locking3?+2 bonus
77-86?Shocking burst3?+2 bonus
87-90?Stalking?+2 bonus
91-100?Unholy3?+2 bonus
d%?+3 Weapon Special Ability?Base Price Modifier1
01-25?Lucky, greater5?+3 bonus
26-45?Reliable, greater5?+3 bonus
46-85?Speed?+3 bonus
86-94?Brilliant energy3?+4 bonus
95-96?Designating, greater?+4 bonus
97-98?Nimble shot?+4 bonus
99-100?Second chance3?+4 bonus
